"continent","continent","continent","continent","continent","continent","continent"
"North_America","North_America","North_America","North_America","North_America","North_America","North_America"
"North_America","North_America","North_America","North_America","North_America","North_America","North_America"
"North_America","North_America","North_America","North_America","North_America","North_America","North_America"
"North_America","North_America","North_America","North_America","North_America","North_America","North_America"
"North_America","North_America","North_America","North_America","North_America","North_America","North_America"
"Oceania","Oceania","Oceania","Oceania","Oceania","Oceania","Oceania"
"South_America","South_America","South_America","South_America","South_America","South_America","South_America"
"South_America","South_America","South_America","South_America","South_America","South_America","South_America"
"South_America","South_America","South_America","South_America","South_America","South_America","South_America"
"South_America","South_America","South_America","South_America","South_America","South_America","South_America"
"South_America","South_America","South_America","South_America","South_America","South_America","South_America"
"South_America","South_America","South_America","South_America","South_America","South_America","South_America"
"South_America","South_America","South_America","South_America","South_America","South_America","South_America"
"South_America","South_America","South_America","South_America","South_America","South_America","South_America"
"South_America","South_America","South_America","South_America","South_America","South_America","South_America"
