"","Ancylostoma duodenale","Ascaris lumbricoides","Enterobius vermicularis","Necator americanus","Schistosoma mansoni","Strongyloides stercoralis","Trichuris trichiura"
"MOZ025_trimmed",0,0,0,347.452493160732,0,0,0
"MOZ026_trimmed",0,0,0,22.0063282337689,0,0,45.7392938809743
"MOZ032_trimmed",0,0,0,825.400393716222,0,0,0
"MOZ010_trimmed",0,0,0,0,0,0,17.1042509168415
"MOZ015_trimmed",0,0,0,0,0,0,187.003393884923
"MOZ016_trimmed",0,0,0,0,0,0,106.724083496618
"MOZ017_trimmed",0,0,0,0,0,0,763.119153761216
"SEN_SMANS001_trimmed",0,0,0,0,615151.191906982,0,0
"TZA002_trimmed",0,11.390736762763,0,0,0,0,4435.64258753765
"TZA005_trimmed",0,13.0536196462082,0,41.1066686146637,0,0,1330.51964276605
"TZA004_trimmed",0,0,0,262.421818230816,0,0,1563.77557726408
"TZA001_trimmed",0,0,0,0,0,0,1047.28207507731
"TZA003_trimmed",0,0,0,0,0,0,1326.74636889255
"UGA_TT003_trimmed",0,1399.82960225972,0,0,0,0,83618.6692154038
"UGA_TT006_trimmed",0,2361.84023338256,0,0,0,0,57368.4115809896
"UGA_TT007_trimmed",0,165.312906328873,0,0,0,0,45860.4025164459
"UGA_TT008_trimmed",0,653.062504456046,0,0,0,0,21133.6209222778
"UGA_TT009_trimmed",0,4796.07983130708,0,0,0,0,1611.52812856369
"UGA_SMANS001_trimmed",0,0,0,0,377379.290825638,0,0
"UGA_SMANS002_trimmed",0,0,0,0,1110827.47615797,0,0
"UGA_TT001_trimmed",0,0,0,0,0,0,295757.336321737
"UGA_TT002_trimmed",0,0,0,0,0,0,242016.861046562
"UGA_TT004_trimmed",0,0,0,0,0,0,95727.2389392422
"UGA_TT005_trimmed",0,0,0,0,0,0,134007.351315821
"UGA_TT010_trimmed",0,0,0,0,0,0,140410.562347983
"UGA_TT011_trimmed",0,0,0,0,0,0,95743.6230845955
"UGA_TT012_trimmed",0,0,0,0,0,0,14228.7393246588
"UGA_TT013_trimmed",0,0,0,0,0,0,16008.4045877923
"CHN_NEC001_trimmed",0,1136.32402478494,0,108296.675073343,0,0,0
"CHN_TT001_trimmed",0,1087.77058435862,0,0,0,0,2864530.63429047
"CHN_TT002_trimmed",0,240.703864134145,0,0,0,0,2862841.69875304
"CHN_TT003_trimmed",0,148.392918368267,0,0,0,0,3091299.64994409
"CHN_TT004_trimmed",0,130.66891991947,0,0,0,0,802466.994150794
"CHN_TT006_trimmed",0,114.649904674985,0,0,0,0,1284891.11883628
"CHN_TT007_trimmed",0,463.404263628759,0,0,0,0,865762.523212538
"CHN_TT005_trimmed",0,0,0,0,0,0,2416687.08938121
"THA_STRONGY001_trimmed",0,0,0,0,0,56512.6256373854,0
"THA_STRONGY002_trimmed",0,0,0,0,0,42737.5450244133,0
"THA_STRONGY003_trimmed",0,0,0,0,0,4096.32887164393,0
"THA_STRONGY004_trimmed",0,0,0,0,0,152572.836193653,0
"THA_STRONGY005_trimmed",0,0,0,0,0,21714.5307601074,0
"THA_STRONGY006_trimmed",0,0,0,0,0,60160.9268717386,0
"THA_STRONGY007_trimmed",0,0,0,0,0,204093.607100833,0
"THA_STRONGY008_trimmed",0,0,0,0,0,16166.3230436016,0
"THA_STRONGY009_trimmed",0,0,0,0,0,350123.102879851,0
"THA_STRONGY010_trimmed",0,0,0,0,0,37353.893600442,0
"THA_STRONGY011_trimmed",0,0,0,0,0,17175.4268905714,0
"THA_STRONGY012_trimmed",0,0,0,0,0,14035.9732490731,0
"THA_STRONGY013_trimmed",0,0,0,0,0,44820.6011594984,0
"THA_STRONGY014_trimmed",0,0,0,0,0,38518.487279835,0
"THA_STRONGY015_trimmed",0,0,0,0,0,16364.8992039373,0
"GLP_SMANS001_trimmed",0,0,0,0,319260.869649465,0,0
"GLP_SMANS002_trimmed",0,0,0,0,513606.807724484,0,0
"GLP_SMANS003_trimmed",0,0,0,0,355585.436201553,0,0
"GLP_SMANS004_trimmed",0,0,0,0,326099.06608957,0,0
"PR1_SMANS001_trimmed",0,0,0,0,268325.880548807,0,0
"USA_STRONGY001_trimmed",0,0,0,0,0,583221.588430447,0
"FJI001_trimmed",0,0,0,0,18.6342532185045,0,0
"ECU_ALUM001_trimmed",0,4647101.53429391,0,33.552479924387,0,0,0
"HND_TT001_trimmed",0,0,0,0,0,0,1808151.41880912
"HND_TT002_trimmed",0,0,0,0,0,0,2098625.27256642
"HND_TT003_trimmed",0,0,0,0,0,0,3166568.71243677
"HND_TT004_trimmed",0,0,0,0,0,0,1462748.00414128
"HND_TT005_trimmed",0,0,0,0,0,0,1209751.20815616
"HND_TT006_trimmed",0,0,0,0,0,0,1629564.75473817
"HND_TT007_trimmed",0,0,0,0,0,0,2149674.3366547
"HND_TT008_trimmed",0,0,0,0,0,0,8582123.17472453
