"","scaffold","type_SNP","mean_normalized_Cq_change","repeat_type","sample_name"
"1",52,"no_SNP",21076886.01,"repeat_1","52_wt"
"2",52,"SNP",1903.784178,"repeat_1","52_mutated"
"3",56,"no_SNP",45507.63336,"repeat_2","56_wt"
"4",56,"SNP",458341.834,"repeat_2","56_mutated"
"5",102,"no_SNP",16265.41094,"repeat_3","102_wt"
"6",102,"SNP",1389805.156,"repeat_3","102_mutated"
"7",52,"canonical",1,"repeat_1","canonical"
"8",56,"canonical",1,"repeat_2","canonical"
"9",102,"canonical",1,"repeat_3","canonical"
