"","X","sample.id","PC1","PC2","country","chrom","normalised","N_DATA","N_GENOTYPES_FILTERED","N_MISS","F_MISS"
"34",34,"KEN_ALUM031_trimmed",-0.492823664918317,0.0397245208157745,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",2661880.1250337,558,0,0,0
"35",35,"KEN_ALUM032_trimmed",-0.490752678018945,0.0217347621136011,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1324629.95784916,558,0,0,0
"36",36,"KEN_ALUM033_trimmed",-0.487264947659007,0.0470674407770276,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",2141135.71562552,558,0,0,0
"37",37,"KEN_ALUM034_trimmed",-0.498566210673806,0.0248544193977197,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",4343145.48868265,558,0,0,0
"38",38,"KEN_ALUM035_trimmed",-0.471444540995961,-0.0230117696651483,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",3789934.27391453,558,0,0,0
"39",39,"KEN_ALUM036_trimmed",-0.500015572320637,0.0242508640468033,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",3408485.63305523,558,0,0,0
"40",40,"KEN_ALUM037_trimmed",-0.494652419962689,0.0449685014428475,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",6156467.77639945,558,0,0,0
"41",41,"KEN_ALUM038_trimmed",-0.487217741609018,0.047200442562161,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1009863.8286618,558,0,0,0
"42",42,"KEN_ALUM039_trimmed",-0.497932351773309,0.0398760947724008,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",936524.893644837,558,0,0,0
"43",43,"KEN_ALUM040_trimmed",-0.494569801677197,0.0449225027703648,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1809176.28141558,558,0,0,0
"44",44,"KEN_ALUM041_trimmed",-0.495697294289359,0.040711149054409,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1079723.06231046,558,0,0,0
"45",45,"KEN_ALUM042_trimmed",-0.493290043244701,0.0158055752344949,"Kenya","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",1662062.37680241,558,0,0,0
