"","sample.id","PC1","PC2","country"
"1","ECU_ALUM001_trimmed",-0.495649610628743,0.0231129041395027,"Ecuador"
"2","ETH001_trimmed",-0.479265492451504,-0.0265455028665394,"Ethiopia"
"3","ETH002_trimmed",-0.471546254749651,-0.0315874103543375,"Ethiopia"
"4","KEN_ALUM001_trimmed",-0.493016989771313,0.0153156270511798,"Kenya"
"5","KEN_ALUM002_trimmed",-0.465795257018749,-0.0228679908533638,"Kenya"
"6","KEN_ALUM003_trimmed",-0.495711967354192,0.0214173813321115,"Kenya"
"7","KEN_ALUM004_trimmed",-0.478514998133742,-0.0366278615876859,"Kenya"
"8","KEN_ALUM005_trimmed",-0.495428855254583,0.0405504477477088,"Kenya"
"9","KEN_ALUM006_trimmed",-0.491999624594439,0.0162820693891428,"Kenya"
"10","KEN_ALUM007_trimmed",-0.493209474910184,0.015834548820012,"Kenya"
"11","KEN_ALUM008_trimmed",-0.494604033817548,0.0447988221891816,"Kenya"
"12","KEN_ALUM009_trimmed",-0.493889325316975,0.0177370027360139,"Kenya"
"13","KEN_ALUM010_trimmed",-0.489280107876666,0.0432420562951912,"Kenya"
"14","KEN_ALUM011_trimmed",-0.500285268694363,0.0380907845404463,"Kenya"
"15","KEN_ALUM012_trimmed",-0.0108449213209853,-0.0418388903317405,"Kenya"
"16","KEN_ALUM013_trimmed",-0.497310636738257,0.0366032639518238,"Kenya"
"17","KEN_ALUM014_trimmed",-0.497179326744288,0.0208169007851758,"Kenya"
"18","KEN_ALUM015_trimmed",-0.495425282402516,0.0237249060899459,"Kenya"
"19","KEN_ALUM016_trimmed",-0.499394275268723,0.0377493978489406,"Kenya"
"20","KEN_ALUM017_trimmed",-0.50016636160383,0.0243274500231186,"Kenya"
"21","KEN_ALUM018_trimmed",-0.499886636174079,0.0241260211086854,"Kenya"
"22","KEN_ALUM019_trimmed",-0.499303237160704,0.0225520646493417,"Kenya"
"23","KEN_ALUM020_trimmed",-0.47852852832944,-0.0369496907877389,"Kenya"
"24","KEN_ALUM021_trimmed",-0.499517153689147,0.0332379582268589,"Kenya"
"25","KEN_ALUM022_trimmed",-0.496191670949917,0.0253916896024843,"Kenya"
"26","KEN_ALUM023_trimmed",-0.489635309302679,0.0188453013233721,"Kenya"
"27","KEN_ALUM024_trimmed",-0.493132755382619,0.0157224624006751,"Kenya"
"28","KEN_ALUM025_trimmed",-0.499480008212072,0.0226852198427479,"Kenya"
"29","KEN_ALUM026_trimmed",-0.499615386370955,0.0333825350106569,"Kenya"
"30","KEN_ALUM027_trimmed",-0.495485311971406,0.0212107076557943,"Kenya"
"31","KEN_ALUM028_trimmed",-0.496082352822554,0.0242832861138914,"Kenya"
"32","KEN_ALUM029_trimmed",-0.497405100306825,0.0209934774290984,"Kenya"
"33","KEN_ALUM030_trimmed",-0.495817306958638,0.0246434929304427,"Kenya"
"34","KEN_ALUM031_trimmed",-0.492823664918317,0.0397245208157745,"Kenya"
"35","KEN_ALUM032_trimmed",-0.490752678018945,0.0217347621136011,"Kenya"
"36","KEN_ALUM033_trimmed",-0.487264947659007,0.0470674407770276,"Kenya"
"37","KEN_ALUM034_trimmed",-0.498566210673806,0.0248544193977197,"Kenya"
"38","KEN_ALUM035_trimmed",-0.471444540995961,-0.0230117696651483,"Kenya"
"39","KEN_ALUM036_trimmed",-0.500015572320637,0.0242508640468033,"Kenya"
"40","KEN_ALUM037_trimmed",-0.494652419962689,0.0449685014428475,"Kenya"
"41","KEN_ALUM038_trimmed",-0.487217741609018,0.047200442562161,"Kenya"
"42","KEN_ALUM039_trimmed",-0.497932351773309,0.0398760947724008,"Kenya"
"43","KEN_ALUM040_trimmed",-0.494569801677197,0.0449225027703648,"Kenya"
"44","KEN_ALUM041_trimmed",-0.495697294289359,0.040711149054409,"Kenya"
