"","sample_id","PC1","PC2","country"
"65","KEN_ALUM068_trimmed",-0.430465820844553,0.00599486732390439,"Kenya"
"66","MMR002_trimmed",-0.0688269261627776,0.0164106417176095,"Myanmar"
"67","MMR007_trimmed",-0.405217925932537,-0.00294801103576264,"Myanmar"
"68","MMR013_trimmed",-0.348277076720659,-0.0192575866681102,"Myanmar"
"69","MMR016_trimmed",-0.36676851890532,0.00278162589601244,"Myanmar"
"70","MMR_NDK113_trimmed",-0.185234343349505,-0.00921563447953144,"Myanmar"
"71","MMR_NDK63_trimmed",-0.19595176654703,-0.0166138834375517,"Myanmar"
"72","MMR_NKD92_trimmed",-0.20662213466076,-0.0117557568513348,"Myanmar"
"73","MMR_TKU102_trimmed",-0.346716658221848,0.00176607392091807,"Myanmar"
"74","MMR_TKU23_trimmed",-0.408883906382635,-0.00213271147381271,"Myanmar"
"75","MMR_TKU25_trimmed",-0.3641256108586,-0.00496796424328921,"Myanmar"
"76","MOZ030_trimmed",-0.291124008651784,-0.0446237726405774,"Mozambique"
"77","ZAF002_trimmed",-0.329559429822436,-0.00577488375561267,"South Africa"
"78","ZAF003_trimmed",-0.309572596592236,-0.00501010721897354,"South Africa"
"79","ZAF004_trimmed",-0.0808354795749913,-0.00117850129363504,"South Africa"
"80","ZAF005_trimmed",-0.421217949681413,-0.00468952306287845,"South Africa"
"81","ZAF006_trimmed",-0.337370707709884,-0.00491851600400989,"South Africa"
