"","sample.id","PC1","PC2","country","total_reads","NC_016198_Ascaris_lumbricoides_mitochondrion_genome_Korea","NC_001327_Ascaris_suum_mitochondrion_genome_USA","KY045802_Ascaris_lumbricoides_isolate_G17_mitochondrion_genome_Tanzania","Ascaris_lum_KOR_percentage","Ascaris_lum_TZA_percentage","Ascaris_suum_US_percentage"
"78","MMR_NKD92_trimmed",-0.306572026699107,-0.154741854068517,"Myanmar",387,149,205,33,38.5012919896641,8.52713178294574,52.9715762273902
"79","MMR_TKU102_trimmed",-0.462868792140688,-0.0900175339389879,"Myanmar",259,1,184,74,0.386100386100386,28.5714285714286,71.042471042471
"80","MMR_TKU23_trimmed",-0.493928881266702,-0.0203452059356219,"Myanmar",47,0,37,10,0,21.2765957446809,78.7234042553192
"81","MMR_TKU25_trimmed",-0.468475425707419,-0.070772650903634,"Myanmar",205,2,162,41,0.975609756097561,20,79.0243902439024
"82","MOZ028_trimmed",-0.490797219661226,-0.0395413359379781,"Mozambique",104,0,100,4,0,3.84615384615385,96.1538461538462
"83","MOZ030_trimmed",-0.444262424677176,-0.106017876048323,"Mozambique",625,1,618,6,0.16,0.96,98.88
"84","ZAF002_trimmed",-0.457742904955338,-0.0756366122530253,"South Africa",198,0,198,0,0,0,100
"85","ZAF003_trimmed",-0.419670992277382,-0.0865416615024801,"South Africa",221,38,183,0,17.1945701357466,0,82.8054298642534
"86","ZAF004_trimmed",-0.356558817625763,-0.279214218559358,"South Africa",271,1,270,0,0.3690036900369,0,99.6309963099631
"87","ZAF005_trimmed",-0.489119907254034,0.00196865925582796,"South Africa",1107,0,1096,11,0,0.993676603432701,99.0063233965673
"88","ZAF006_trimmed",-0.460033566004753,-0.0804033649305558,"South Africa",81,0,81,0,0,0,100
