"","species","start_pos","mitogenome_size_bp","sample_id","raw_read_counts","raw_reads_n","normalised","N_DATA","N_GENOTYPES_FILTERED","N_MISS","F_MISS","chrom","PC1","PC2","country"
"24","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM022_trimmed",1678589,92653094,1268336.83330446,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.427849873992377,0.00517336492191031,"Kenya"
"25","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM023_trimmed",2464101,218214108,790543.620270931,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.411738996551803,-0.117451510761695,"Kenya"
"26","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM024_trimmed",2027102,91632412,1548733.32048014,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.417087964754804,-0.144748715476684,"Kenya"
"27","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM025_trimmed",3461112,85278918,2841346.0502632,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.430525595586641,0.00599902913661529,"Kenya"
"28","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM026_trimmed",2198187,128494112,1197654.54301002,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.429505041079643,0.085267464807584,"Kenya"
"29","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM027_trimmed",1826241,111734828,1144246.7362591,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.426234089505129,0.00773621057067387,"Kenya"
"30","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM028_trimmed",2710052,309329480,613347.318751709,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.426364932954489,0.00598014813245011,"Kenya"
"31","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM029_trimmed",1673447,178970560,654606.817131471,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.428993165422209,0.00722377855385766,"Kenya"
"32","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM030_trimmed",7092587,174448136,2846351.27818726,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.427136669985879,0.00521333679797414,"Kenya"
"33","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM031_trimmed",2869587,74258220,2705359.72211145,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.424837220585686,0.0872633747231685,"Kenya"
"34","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM032_trimmed",1825659,94992872,1345484.82096725,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.420616017350348,-0.0936094160810964,"Kenya"
"35","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM033_trimmed",2632554,84827536,2172654.12622068,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.416715499766728,0.0880103300675497,"Kenya"
"36","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM034_trimmed",6183109,98584654,4390841.34077218,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.429877390592262,0.00572439948405918,"Kenya"
"37","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM035_trimmed",4702234,85712172,3840713.35289486,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.382766605987217,0.00202674772465743,"Kenya"
"38","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM036_trimmed",3827349,77384396,3462540.22051204,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.431641190034401,0.00572364828150441,"Kenya"
"39","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM037_trimmed",8611517,97340932,6193474.04054289,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.426960364943116,0.103499974598763,"Kenya"
"40","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM038_trimmed",1467237,100083378,1026333.42641525,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.416674424710547,0.0879187637041534,"Kenya"
"41","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM039_trimmed",1334663,98325008,950293.566360063,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.42976902726345,0.0816883093679043,"Kenya"
"42","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM040_trimmed",3000729,114332142,1837420.654191,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.426923723914844,0.103366023786434,"Kenya"
