"","species","start","end","sample_id","raw_read_counts","raw_reads_n","normalised","country","total_read_counts","percentage"
"182","Ascaris_lum_TZA",0,14280,"KEN_ALUM003_trimmed",26217,138159874,13288.4050672187,"Kenya",2946688.96490233,0.00450960560327044
"183","Ascaris_lum_TZA",0,14280,"KEN_ALUM004_trimmed",2560,102711676,1745.38782410165,"Kenya",2946688.96490233,0.000592321702388938
"184","Ascaris_lum_TZA",0,14280,"KEN_ALUM005_trimmed",2866,95162594,2109.02489808175,"Kenya",2946688.96490233,0.000715727015372881
"185","Ascaris_lum_TZA",0,14280,"KEN_ALUM006_trimmed",10318,107429540,6725.79459623343,"Kenya",2946688.96490233,0.00228249220611459
"186","Ascaris_lum_TZA",0,14280,"KEN_ALUM007_trimmed",4896,124087802,2763.02051717495,"Kenya",2946688.96490233,0.000937669550497174
"187","Ascaris_lum_TZA",0,14280,"KEN_ALUM008_trimmed",20176,100426638,14068.8285717742,"Kenya",2946688.96490233,0.0047744532047143
"188","Ascaris_lum_TZA",0,14280,"KEN_ALUM009_trimmed",17572,117225286,10497.156841103,"Kenya",2946688.96490233,0.00356235658603042
"189","Ascaris_lum_TZA",0,14280,"KEN_ALUM010_trimmed",9624,94202116,7154.2934325587,"Kenya",2946688.96490233,0.00242790926282776
"190","Ascaris_lum_TZA",0,14280,"KEN_ALUM011_trimmed",3841,160383610,1677.0890182383,"Kenya",2946688.96490233,0.000569143550002702
"191","Ascaris_lum_TZA",0,14280,"KEN_ALUM012_trimmed",53,149624644,24.8053027537197,"Kenya",2946688.96490233,8.41802546830453e-06
"192","Ascaris_lum_TZA",0,14280,"KEN_ALUM013_trimmed",5021,148686948,2364.77141394888,"Kenya",2946688.96490233,0.000802518162627747
"193","Ascaris_lum_TZA",0,14280,"KEN_ALUM014_trimmed",7290,333901836,1528.90504525609,"Kenya",2946688.96490233,0.000518855251934189
"194","Ascaris_lum_TZA",0,14280,"KEN_ALUM015_trimmed",2430,88500648,1922.78894078709,"Kenya",2946688.96490233,0.000652525245687347
"195","Ascaris_lum_TZA",0,14280,"KEN_ALUM016_trimmed",5820,165388606,2464.27510979858,"Kenya",2946688.96490233,0.000836286129669698
"196","Ascaris_lum_TZA",0,14280,"KEN_ALUM017_trimmed",47672,161343062,20691.1614838452,"Kenya",2946688.96490233,0.00702183424524789
"197","Ascaris_lum_TZA",0,14280,"KEN_ALUM018_trimmed",4504,93982644,3356.0043540059,"Kenya",2946688.96490233,0.00113890688633204
"198","Ascaris_lum_TZA",0,14280,"KEN_ALUM019_trimmed",4436,134342412,2312.33199611662,"Kenya",2946688.96490233,0.000784722114773068
"199","Ascaris_lum_TZA",0,14280,"KEN_ALUM020_trimmed",11042,97153930,7959.0120514928,"Kenya",2946688.96490233,0.00270100175019884
"200","Ascaris_lum_TZA",0,14280,"KEN_ALUM021_trimmed",8302,268089858,2168.57345278466,"Kenya",2946688.96490233,0.00073593564798127
